RT @madhu_sahoo: The service of @TheOfficialSBI is completely an eyewash! They need miles to go as far as d services of pvt banks are conce,Displeasure
@TheOfficialSBI SBI main branch Hisar not giving new currency and give excuse new currency not  reached to us.,Displeasure
"@narendramodi @RBI @AxisBank @AxisBankSupport what type of thing is itFrom 10/11/16
Till date axisbank jamuria branch havnt exchnge ny money",Displeasure
@TheOfficialSBI send mail to Twitter@sbi.com no answer,Displeasure
RT @TheOfficialSBI: #SBI reached 5 million #videoviews on its #YouTube channel. We value your patronage. https://t.co/i2xWH5wL0M https://t.,Miscellaneous
"@HDFC_Bank @HDFCBank_Cares #Pathetic #Senseless banking, what's the point of changing ATM password in midst of a tr https://t.co/fU9bQMvOJP",Displeasure
"@TheOfficialSBI it's crisis like situation and banks nt ready. mere extension of working hrs will not pay dividend.
@RBI",Displeasure
"@parikshitkmr @AxisBankSupport Hi, due to heavy traffic on withdrawals you may find some of our (1/2)",Miscellaneous
@princesurana @TVMohandasPai @ICICIBank_Care @spsurana @ArvindKejriwal lucky,Miscellaneous
"@ICICIBank_Care no work is being done at West Jyoti Nagar Branch Delhi, neither they are changing currency nor depositing cash in account",Displeasure
@TheOfficialSBI I am struck on the same page for few minutes &amp; then website suggests me to re-login. Spoke to your Customer care but no use,Displeasure
"@HDFCBank_Cares @HDFC_Bank don't know the account no. , but it is attached to my mobile no. 7737605005",Miscellaneous
@TheOfficialSBI i have been standing at the same spot to exchange just one 500 rupee note. You have reached a new level of inefficiency,Displeasure
@FinMinIndia @TheOfficialSBI the SBI online is down. Cannot use it for wallets and other services. The time we need the service most is gone,Displeasure
@TheOfficialSBI hi sir pls. proved ATM facility under branch 12559. now that time branch provider ATM are to . plz. install in main market.,Miscellaneous
@ICICIBank @ICICIBank_Care As I observed icici bank is givinv worst service among all. Most of icici atm running out of cash.,Displeasure
Amazing functioning @HDFCBank_Cares Jaipur. Smooth operations that too with a smile,Compliment
@TheOfficialSBI branch counter has been closed at 4 pm,Miscellaneous
"@TheOfficialSBI can i use my sbi debit card in my village, and all the problems is only in sbi branches, no exchange",Miscellaneous
"@monstermanojit @thehindubiz @TheOfficialSBI @the_hindu 
SBI couldn't check ATM frauds, forget this",Displeasure
"@TheOfficialSBI SBI ATM 24 hours closed in Rohini,Delhi. Wow what great service.",Compliment
