@sowmyarao_  adding them to the list but still waiting for contempt petitions in SC @HDFCBank_Cares @HDFCLIFE @RBI,Displeasure 
@sankrant Hail the Banks' staff in rebuilding India @indianbanksorg @indianbankers @indianbanks @AxisBank @VijayaBankIndia @KotakBankLtd ,Compliment
"RT @ICICIBank_Care: @vishnuramesh71 Hi, we will have our official get in touch with you.",Miscellaneous
"@FreeChargeCares @KotakBankLtd I tried with Rs887, still getting this error. Transferred the same amount to SBI successfully",Miscellaneous
@TheOfficialSBI @RBI v  will return back after 30th Nov 2016 (2/2),Displeasure 
@AxisBank @AxisBankSupport your credit card is not working at Hypercity and we r stuck..@narendramodi @arunjaitley #DeMonetisation,Displeasure 
"@ICICIBank_Care @DelhiPolice @CybercrimeCID Hi All, continuously getting calls from 9210131774 regarding upgraadation of ICICI credit card..",Miscellaneous
@TheOfficialSBI Thank you for responding but please make sure it is done asap.  For the extra efforts banks are taking.,Compliment
"Watch | @TheOfficialSBI Q2 net down 35% at Rs 2538 cr, asset quality worsens https://t.co/2YqTBIbMOo  #Q2Earnings https://t.co/409vov7jUb",Miscellaneous
"@TheOfficialSBI Your branc close their doors at 6 PM , don't spread rumours. Not allowing us to enter at 6 PM. #Jamshedpur",Displeasure 
@TheOfficialSBI As per SBI Chief there is no need of photo ID while exchanging then why your staff harassing us for document and form.,Displeasure 
"@ICICIBank @ICICIBank_Care ATM still not started 11:20 a.m. at Shahibaug branch, Rajkot, Gujarat",Displeasure 
"Hi @MUKESHT15074020 , express ur dissatisfaction on https://t.co/DrAughKBtK  vll follow up wid #poorservice @HDFCBank_Cares #VY",Displeasure 
"RT @SECULAR_BHARAT_: @TheOfficialSBI what is this happening, why don't you check the authenticity of the action taken by this poor family?",Displeasure 
@KotakBankLtd  ATM near andheri station east was open! any specific reason? https://t.co/0Jhfm2gmsT,Miscellaneous
"Retweeted State Bank of India (@TheOfficialSBI):

We are  glad to announce that as at 1:00 PM today, more than... https://t.co/pgyGp9DWM3",Miscellaneous
"@ErrDeepak @AxisBankSupport Hi, we are sorry that you had to face the inconvenience. we will surely",Miscellaneous
"@TheOfficialSBI TRUE Digital Revolution you are bringing to India SBI, amazing timelines to do your work, hatsoff!!",Compliment
@TheOfficialSBI Kindly make all SBI ATMs functional in Agartala &amp; elsewhere in Tripura asap. Is there any operational even today? Pliz help.,Miscellaneous
"RT @prakashpoojaryj: @HDFCBank_Cares no response of bank team  post approval of 2 wheeler loan application app:2054254986
Cust ID :33771668",Displeasure 
@PMOIndia @narendramodi @arunjaitley @HDFCBank_Cares Senior citizen time 2-3 pm in hot sun. Pls ensure separate queue &amp; no time restriction,Displeasure 
RT @HDFCBank_Cares: Thank you @Shitalkh for your appreciation. -Natasha,Compliment
@KotakBankLtd I am still waiting to hear back from you on the investigation. Least you can do is inform the customer,Displeasure 
"@HDFCBank_Cares I am yet to receive the pin for supp card, even though i received the card more than a month back. Can you check the status.",Miscellaneous
@HDFCBank_Cares can someone help us to change address for saving bank account,Miscellaneous
"@AxisBankSupport location 1

https://t.co/yFCc7vPEyo",Miscellaneous
"@TheOfficialSBI @HDFCBank_Cares @ICICIBank_Care all other banks,plz take necessary steps to have all ATMs working.#IndiaFightsCorruption",Miscellaneous
@HDFCBank_Cares Sunday bank open or not,Miscellaneous
"@ndtv @RBI @ICICIBank @ICICIBank_Care isn't this illegal ? Refusing normal janta, aren't we Indians cooperating with the govt ?",Displeasure 
@AxisBank @AxisBankSupport its 5.57 in evening i went back aftr 12 hours the bank shuter was down guard sitting out https://t.co/SevypmzuaH,Displeasure 
@ICICIBank @Bankofindia_BOI @TheOfficialSBI @HDFC_Bank @AxisBank @bankofbaroda and all other banks across India. Th https://t.co/L7uf4tXrOG,Miscellaneous
@KotakBankLtd now telling customers to use net banking to avoid long queues! #DeMonetisation zero preparations by GOI!,Compliment
@TheOfficialSBI Thank To Branch Manager of 5089 . Managing verrywell and repling client for quaerry with smile,Compliment
