@HDFCBank_Cares i hope you can fix my CC transaction disputes soon else am thinking of cancelling my card with HDFC,Displeasure,,,,,
@TheOfficialSBI I have deposited the money in north block rastrapati bhavan branch,Miscellaneous,,,,,
RT @Nitin_Rasam: All banks need to do special arrangement for senior citizens @TheOfficialSBI @ICICIBank @HDFC_Bank #CashRush,Miscellaneous,,,,,
@HDFCBank_Cares This  is the most horrible experience I have ever had with a bank in entire  life...more than a  month to open an NRI acct.,Displeasure,,,,,
"@ICICIBank @ICICIBank_Care @RBI @CNBC @TOIIndiaNews @aajtaknews @ZeeNews @BBCWorld Very very rude staff behavior, not acceptable.",Displeasure,,,,,
RT @TheOfficialSBI: Why wait for someone to do something when each one of us can stand up against corruption. Its time to be your own,Miscellaneous,,,,,
@TheOfficialSBI so you just doing copy paste same reply twice waoo great social media escalation team from SBI.,Miscellaneous,,,,,
@HDFCBank_Cares please start it as soon as possible. we do not have cash even more than 200 rs. thanks for understanding.,Miscellaneous,,,,,
@KotakBankLtd yes received call now waiting for resolution.,Miscellaneous,,,,,
".@snegho @ajantriks @UCOBankCare Also check 5 tweets starting from here, from @TheOfficialSBI https://t.co/woNJlVRuNw",Miscellaneous,,,,,
@HDFCBank_Cares there is no complain no. Please call me on 9820780304 for detailed understanding of the problem,Displeasure,,,,,
"@TheOfficialSBI Hi,my wife had opened an savings acct. 2 weeks back.Internet banking kit username &amp; pwd. doesn't works &amp; when we r trying.1)",Displeasure,,,,,
@HDFC_Bank @HDFCBank_Cares How can branches run out of deposit slips? Loc. Gorabazar branch Kolkata,Miscellaneous,,,,,
@TheOfficialSBI Can I deposit the entire amount Of my debt I have taken against my mortgage in credit society pls suggest.,Miscellaneous,,,,,
@ICICIBank_Care @ICICIBank icici bank atm are not dispensing the cash. A big lie by Indira Coacher,Displeasure,,,,,
@HDFCBank_Cares Follow back,Miscellaneous,,,,,
"At @HDFCBank_Cares ATM, effect of #blackmoney curb https://t.co/jORKoT0HEb",Miscellaneous,,,,,
@KotakBankLtd Thank you...That is what expected from Good Bank for future relationship. Convey my thanks to Staff at branch.,Compliment,,,,,
@CNNnews18 @TheOfficialSBI @RahulGandi1... Let rahul stand in queue and exchange his money... He needs candies right now,Miscellaneous,,,,,
RT @cathakursingh: @HJS_PJ  @@arunjaitley private banks run as per their convenience @HDFC_Bank @HDFCBank_Cares @HDFCBankNews @FinMinIndia,Displeasure,,,,,
@TheOfficialSBI how about cr3ating a new account in these days..,Miscellaneous,,,,,
@KotakBankLtd extremely pleased n surprised- 7min TURNaround at TURNERrd branch:) deposit+exch. While Shocker @ICICIBank wealth waterfield,Compliment,,,,,
Dr is no watermark/LOGO of @TheOfficialSBI @RBI @arunjaitley @BJP4India @PMOIndia @MinhazMerchant @RatanSharda55 https://t.co/3qfhQysYAf,Miscellaneous,,,,,
"@TheOfficialSBI Just wanted to check if the banks are open tomorrow, the 14th Nov which is Guru Nank Jayanti",Miscellaneous,,,,,
Is there hope with @KotakBankLtd ? https://t.co/W67dNizAHa,Miscellaneous,,,,,
Spare a thought for the bank folks working long hours to help out the common man! @TheOfficialSBI @ICICIBank @HDFCBank_Cares @arunjaitley,Compliment,,,,,
