"@HDFCBank_Cares To add ...this was a miniscule amount of 13 K . Had it been in lacs or more , it was understood .",Miscellaneous
@TheOfficialSBI Have sent an email for complaint against branch manager of branch code 60272 Ahmedabad. Hope that will be actioned upon,Displeasure
@TheOfficialSBI I went to chemist to buy medicine they are not accepting 500 rupees note. They are also not accepting Paytm. Now what to do,Displeasure
"RT @im_nindak: @CNBCTV18Live @aakuraj @TheOfficialSBI 

""I need liquid money to invest in my growing economy to boost the GDP &amp; earn furthe",Miscellaneous
@ICICIBank_Care Home loan insurance is too high. Seems taking disadvantage of people's need...,Displeasure
Why normal operations like account opening etc are not happening at SBI ?? @TheOfficialSBI,Displeasure
@fayedsouza @HDFC_Bank @HDFCBank_Cares they still ask for an advance intimation before you travel. Onus on customer.,Miscellaneous
@TheOfficialSBI ..my ATM card was block .why,Displeasure
@tiscatime @HDFCBank_Cares @HDFC_Bank and the bank for the buck,Miscellaneous
"@mediacrooks we don't need ATM to dispense those new 2k notes. We need 100 rs notes. so fill with 100,50. @RBI @TheOfficialSBI @arunjaitley",Displeasure
@AxisBankSupport @AxisBank No my problem was not demonetization but U stopped ATM service 2 hour b4 midnight in axis and othr banks ATM.,Displeasure
@KotakBankLtd staff of Lavele road #bangalore were very welcoming &amp; helped me to exchange.Kudos,Compliment
@narendramodi any plan to visit#gcc#Bahrain am#NRI have some 500&amp;1000s take it for free.bcz we can't do anything @PMOIndia @TheOfficialSBI,Displeasure
@TheOfficialSBI @narendramodi  Kindly Instruct SBI Dhubri Main Branch to remit New notes to other banks. @arunjaitley,Displeasure
"Customer ID 548360647, Is this type of service you give to your own customers @ICICIBank_Care  @ICICIBank",Displeasure
".@bankofbaroda: 
Demonetisation likely to throw up more liabilities
Maintain H2 NPA view at Rs 45,000-50,000 cr",Displeasure
"@arunjaitley @PMOIndia @bankofbaroda Shadnagar, Hyd branch. Som guy exchngd 2Lakhs of old notes wid new one. Sems Mangr had dealing pls help",Displeasure
"@TheOfficialSBI ,""Please tell the public dealing hours up to......PM??",Displeasure
@TheOfficialSBI I checked ur website and asked the branch for PowerGain current account.i wanted waiver on cash deposit chrgs.NoOne knows.,Miscellaneous
@HDFCBank_Cares I have urgent requirement of cash no cash in your kalva atm pinched 400605,Displeasure
RT @manichejain: Dear @RBI please note @KotakBankLtd is intentionally causing harassment to the people for exchanging currency notes https:,Displeasure
@AxisBankSupport Hello! Will the deposit machines be functioning today?,Miscellaneous
@Breathedreamgo @TheOfficialSBI good to know your cash problem has been resolved. Good luck.,Compliment
@TheOfficialSBI Why isn't there different queue for people depositing the money and people who want to xchange? Sowcarpet branch!,Displeasure
"@AxisBankSupport wov even private bank do not have money for exchange,wonder how common people live 35 hrs no money https://t.co/Zgc3UPJWq3",Displeasure
@HDFCBank_Cares quick reply = how much hours?,Miscellaneous
@TheOfficialSBI but my home branch not accept it.,Displeasure
#SBIAnywhere @TheOfficialSBI Early Morning when I Used your site - We are experiencing network delays. Apologise for the inconvenience.,Displeasure
"@ICICIBank @ICICIBank_Care have a windows phone, unable to use UPI on imobile, can you help me out??",Displeasure
@ICICIBank_Care helpline is soo gauche! Almost impossible to talk to customer care exec!,Displeasure
"@TheOfficialSBI Please tell your staff not to keep ATMs empty during night. Why can't they refill it in the late evening, people harassed?",Displeasure
@KotakBankLtd 9873098409 you may reach me on this no.,Miscellaneous
"Ques - @HDFCBank_Cares - so how many days does it take to open a Dmat account ?
Ans - Ignore the request and it takes forever !",Displeasure
@TheOfficialSBI tomorrow bank is working is there any problem to deposite cash more than 1 lakh,Miscellaneous
@fossiloflife @AxisBankSupport Please allow us some time we will get back to you shortly.,Miscellaneous
@TheOfficialSBI if any person knows to bank employees .  Then he will get on high priority and exchange da currency notes,Displeasure
@ICICIBank @ICICIBank_Care Your Adyar branch closed for cash transaction before 6PM today 10th Nov 2016 though your press release says 8PM?,Displeasure
Chaos on #rs10coin acceptance.   Just saw an auto wala having  word exchanged with passenger @abpnewshindi @TheOfficialSBI,Miscellaneous
problems for regular customers @HDFCBank_Cares continue @narendramodi @FinMinIndia @RBI @UrjitPatelRBI #adityapuri https://t.co/kVdnZxvPXO,Displeasure
@TheOfficialSBI @abndnkmtr Not Cool.. Guys.. Not Cool,Displeasure
@TheOfficialSBI Chairman: SBI #LifeInsurance #IPO Likely In 18-24 Months,Miscellaneous
@HDFCBank_Cares @HDFC_Bank as I have mentioned my complaint as of now reply from your concern,Displeasure
@KetanJhawar You can get in touch with them through their Twitter handle @TheOfficialSBI or their website https://t.co/t1uwck1UH3.,Miscellaneous
@bankofbaroda @PMOIndia so dumb ppl like @INCIndia n @AamAadmiParty leaders just shut ur mouth n take out ur black money,Displeasure
@AxisBankSupport having big time trouble in using axis mobile in my dual sim phone...it works fine when i use wifi but it doesnt using Data.,Displeasure
RT @TheOfficialSBI: @ravitank7  the username and password provided by the bank. (3/3),Miscellaneous
#ATMs still not working in #Jaipur @ICICIBank_Care,Displeasure
@TheOfficialSBI why banks are demanding zerox of aadhar card when the government has not asked for the same !,Displeasure
"@TheOfficialSBI sbi atm s are not working in biswanath chariali, assam. Please do some necessary steps.",Displeasure
.@TheOfficialSBI:  Have sufficient Rs 100 denomination notes at ATMs and branches.,Compliment
"Anger At #ATMs In Scramble For Cash, A Day After Long Queues At #Banks.#modimasterstroke #noteban @AxisBank @TheOfficialSBI  #blackmoney",Displeasure
"@JaySShah19 @AxisBankSupport Hi, were sorry about the experience you had at our branch.  Thanks for bringing this to our notice.(1/2)",Miscellaneous
@fireboltt @suchetadalal @TheOfficialSBI staff at banks in my area are with people in line guiding them to CDM as applicable reducing lines,Miscellaneous
@ICICIBank_Care any idea as to when the ATM withdrawal embargo shall be lifted totally?,Miscellaneous
.@KotakBankLtd Every person coming to the branch is met with a staff personnel &amp; being explained procedure/wait tim https://t.co/MBEHWO48Ec,Miscellaneous
@TheOfficialSBI  Atm working but no cash since yesterday Atm Id -727261 @RBI @arunjaitley,Displeasure
@ICICIBank_Care -are u speaking seriously. #falseclaim. No one even bothered to call.mine debited amount seems to be like fusssss ...,Displeasure
@TheOfficialSBI plz apply tokan system in ur banks to avoid rush and long que.. plz rt dis msg,Displeasure
"@rajat1984likeu @AxisBankSupport Hi, currently we are not offering two wheeler loan. You can apply for personal loan, (1/2)",Miscellaneous
@KotakBankLtd Not at all. Bankers have tough time to manage the https://t.co/Z02kD1hYqn guys r doing great service https://t.co/W8I3hPFEoM,Compliment
@HDFCBank_Cares thank u for the reply. I have mailed with the reference no . Request you to resolve at the earliest,Compliment
RT @Dev2Girish: @HDFC_Bank @HDFCBank_Cares 1/2 We understand that ATMs will run out of cash very soon for next few days as Banks face logis,Compliment
This is @KotakBankLtd on first morning at 12 noon. @udaykotak is this Customercare? #FAIL https://t.co/54KipmntHf,Miscellaneous
"Wow. Just unbelievable. WTF, @ICICIBank_Care ? https://t.co/L0dQGyRiD8",Displeasure
@TheOfficialSBI okay thank u,Compliment
@alok_bhatt @coolfunnytshirt @CNBCTV18Live @TheOfficialSBI laughing their way to Bank?Kuch hazam nahin hua. Stood in ATM line for 2 hours :(,Displeasure
@KotakBankLtd Mulund branch serving only own customers. No exchange done. Shame! @udaykotak @arunjaitley,Displeasure
@manakgupta @bainjal @TheOfficialSBI Expected shouldn't mean it's ok. It means Govt should have better arrangements.,Displeasure
"@ICICIBank_Care same situation everywhere, I stand for more than 1 hr in Chennai, wife 3 hrs in noida, ATM started  after 4 pm.",Displeasure
@PIB_India @HDFCBank_Cares @arunjaitley bazaar me note chalte hain fm ji @sudhirchaudhary @BDUTT,Miscellaneous
"@HDFCBank_Cares What a worse customer care support, calling to hdfc customer care since 6days, call gets disconnected after hearing wait",Displeasure
"@HDFCBank_Cares 
Sir I have a query please suggest after inquiring with RBI ...
As I have to provide information to a lot of people.",Miscellaneous
@ICICIBank ballygunge circular road branch kolkata is not exchanging currency notes @pmoindia @narendramodi @arunjaitley @ICICIBank_Care,Displeasure
@ICICIBank_Care thanks for the hard work u have put in for client convinience. 1/2,Compliment
@TheOfficialSBI chandralok manger having tea and snacks while we wait in line for 3 hours @arunjaitley,Displeasure
"@TheOfficialSBI  u r unnecessarily inconveniencing your customers. 1st thing after return to India, I'll close my SBI account @RBI @PMOIndia",Displeasure
@ICICIBank @Indiapnb @YESBANK @MyIndusIndBank @StanChart @KotakBankLtd @TheOfficialSBI not a single atm is wrking sec 53 guru gram @RBI,Displeasure
"@AxisBankSupport receiving your texts whr u r ensuring full support for money exchange,but I'm not ur customer &amp; tired of ur txts",Displeasure
.@ICICIBank .@ICICIBank_Care it is getting too procedural n bureaucratic. On top of that you hv one of the worst business iBanking portal,Displeasure
"@KotakBankLtd This was never told to me that there are any such charges for the cash deposit, I am using several bank accounts.",Displeasure
@ICICIBank_Care Cares who??? You bank staff shouting at poor who've come for currency exchange.,Displeasure
"@bond_widda_best @AxisBankSupport Hi, we regret to inform you that app development for Blackberry has been paused. (1/2)",Miscellaneous
"@TheOfficialSBI @abndnkmtr Dear SBI, One institution changing its language of service is better than 6 lakh people changing their language",Displeasure
"Awesome staff @TheOfficialSBI Kajha,Bihar.Sr citizens helped by staff. Answering anger wth polite smile. Dad in awe of them:)#DeMonetisation",Compliment
"@suchetadalal @HDFCBank_Cares sarjapur road,bangalore- tent,water,table for writing ,few chairs &amp; helping staff",Compliment
@pankajbbaviskar @ICICIBank_Care start at 8 am or 9.30 am ?,Miscellaneous
"@ask_AXIS @AxisBank @AxisBankSupport any update for ticket number ""25993780""????",Miscellaneous
"Dear @arunjaitley &amp; @TheOfficialSBI, 2-3 weeks without ATMs is UNACCEPTABLE. If there is not enuf cash in circulation by Monday. U r scrwed.",Displeasure
@TheOfficialSBI I just wanted to know why cash is not accepted for depositing at Kothapet Branch. @FinMinIndia,Displeasure
@kk_bhalla @narendramodi. Please pass on some tips so that it may not be as exhausting for others. @ICICIBank_Care,Displeasure
