@AxisBankSupport the link is not working. Trying to send through that form but no success message shown.,Displeasure
"@HDFCBank_Cares It just  took  5 mins  at ATM, Siddhachal, Thane",Compliment
@HDFCBank_Cares sent u latter and got assurance in mail that within a month u will close it but still waiting and it's been 3 month.,Displeasure
@TheOfficialSBI SBI is the strongest banking sector but facilities are just deteriorating in case of customer handling in banks.,Displeasure
@TheOfficialSBI I have been charged approx Rs 57 for four 500Rs note,Displeasure
"@TheOfficialSBI Hiranandani has not given possession in his project HFC Panvel since 6 years.
We are doomed . Hard earned money lost !! Bad",Displeasure
"RT @Vivekchandan: Parliament's @TheOfficialSBI branch saw a big queue today with Vinod Khanna, Dushyanat Chautala, Santosh Kr, Ramesh Bidhu",Miscellaneous
@KotakBankLtd I have messaged you several times but you are least concern,Displeasure
@KotakBankLtd third grade bank in india.,Displeasure
@pmenviro You can get in touch with them through their Twitter handle @TheOfficialSBI or their website https://t.co/t1uwck1UH3.,Miscellaneous
@AxisBankSupport Your bank should start the cash deposit machines. Despite sending a ton of SMS ATM's were non functional today.,Displeasure
@TheOfficialSBI please open the gate ....sbi @narendramodi @abpnewshindi,Miscellaneous
@TheOfficialSBI really Fed up!,Displeasure
"@HDFCBank_Cares
Request given to replace normal EDC machine  to GPRS EDC machine. Almost 25 days had passed, till yet not received.",Displeasure
First ensure enough cash at all your atm centers. Most of your centers are closed @ICICIBank_Care https://t.co/Dkv8IY0UGu,Miscellaneous
@TheOfficialSBI pl see the specific query.vague reply.,Displeasure
"@PRATIMA_03 @AxisBankSupport Hi, we're sorry you had this experience. Please share your account details with us at(1/2)",Miscellaneous
@TheOfficialSBI @abndnkmtr Dear Shameless masters at SBI have some shame or iota of it!,Displeasure
@TheOfficialSBI bank not allowing withdrawl of money without passbook. We're out of station and left with no money. Why rules at this time?,Displeasure
"@HDFCBank_Cares
I have not deposit my money due to bad service with my a.c. branch Noida Sec 84 (UP).There are monopoly by Bank Staffs.",Displeasure
@TheOfficialSBI why can't foreigner without bank acc exchange their money if it's less thn 4000rs as the scheme specifies?,Miscellaneous
@HDFCBank_Cares @HDFCLIFE IT TAKES THREE WORKING DAYS TO GET CREDITED. #StoneAge #Regalia #NotVeryPremium,Displeasure
@KotakBankLtd that's the reason am regretting why did i open account in kotak.,Displeasure
@TheOfficialSBI Wow getting reply after 2 days...,Displeasure
@TheOfficialSBI This is causing immense hardships to customers like me. Where do I collect my PIN from. Solicit urgent intervention. (2/2),Displeasure
"@TheOfficialSBI @ICICIBank @HDFCBank_Cares @FinMinIndia @RBI ""All ATM transactions were waived off till December 31, 2016""
Is this true.?",Miscellaneous
"Really sorry &amp; sad to find @bsindia 's most columns locked with premium users only access
That too strategist quiz !
@KotakBankLtd Plz help",Miscellaneous
I think everywhere @HDFCBank_Cares doesn't exchange money for Non account holders. #DeMonetisation @PMOIndia https://t.co/o9ln4pJNGQ,Miscellaneous
".@TheOfficialSBI says 53,000 crore deposited in banks post #DeMonetisation that started yesterday. https://t.co/bsV5aRDdSD",Miscellaneous
@ICICIBank_Care Im  not sure..problem was intermittent!!,Displeasure
@HDFCBank_Cares Does depositing cash in any HDFC branch (non-home) attract any charges now?,Miscellaneous
"RT @DevelopedSurat: Salute
All Bank , PostOffice &amp; @SuratPolice staff

@TheOfficialSBI @ICICIBank @HDFC_Bank @KotakBankLtd @YESBANK @PMOInd",Compliment
@TheOfficialSBI already done that at transferee branch. No response from home branch,Displeasure
"@arjunrammeghwal @KotakBankLtd @RBI ,Dear Sir still @1.53 pm from tomorrow morning the ATM shutter is closed. Bank https://t.co/nV8GwVlkyc",Displeasure
@TheOfficialSBI applied for a new card a month ago after you blocked it for no reason. Still not here. no cash or card at a time like this.,Displeasure
"@TheOfficialSBI In SBI Nambol Manipur,the manager said me to deposit the amt at home branch which is presently at Gate Way of India Mumbai.",Miscellaneous
@TheOfficialSBI : Is there any way for NRI to exchange bills of 500/1000. Does your overseas branch support exchange of currency?,Miscellaneous
Long Qs @ banks hope prioritization 4 families of patients with documents @narendramodi @TheOfficialSBI @ICICIBank_Care @HDFC_Bank @AxisBank,Miscellaneous
@TheOfficialSBI  do your duty fuc*** properly,Displeasure
@ICICIBank_Care ur branch at anandmahal Surat is asking for id proof xerox even for depositing the cash in own account ? Why again kyc ?,Displeasure
@AxisBankSupport is the branch at Bangalore open to make cash deposits today ? Till wat time are they open,Miscellaneous
@TheOfficialSBI Is This Necessary To Purchase A Mutual Fund While Opening An Account?? Pls Rply I M Facing This Problem While Opening An A/C,Miscellaneous
@TheOfficialSBI nothing will happen..every daay new issue..now your officer is on leave for 7 days,Miscellaneous
"@HDFCBank_Cares Kammanhalli branch. Extremely friendly, professional and courteous bunch of staff https://t.co/Atg9HUeKp2",Compliment
"RT @Hungry_Old_Man: @nawinraja @ICICIBank_Care @ICICIBank But In Muzaffarpur, it was pathetic. Shutter was down due to link failure. Public",Displeasure
@TheOfficialSBI .Sir at Dhulagori branch ATM still not opened..Out siders how will draw money ..pls advise...thank you.,Displeasure
RT @shiladitya: Went to branches of @IDBI_Bank @HDFC_Bank @ICICIBank @KotakBankLtd @StanChart @YESBANK which all had huge lines all the way,Miscellaneous
Seven @TheOfficialSBI employees killed in road mishap,Miscellaneous
@ICICIBank_Care i want a clear explanation on email abt the query i sent u.,Miscellaneous
"@TheOfficialSBI PPF premature withdrawal is still not implemented. Kindly expedite. AED -Nagarbhavi (9050) br, Blore",Miscellaneous
"@RaviMohanSriva7 @AxisBankSupport Hi, we're sorry for the unpleasant experience you've had. Thanks (1/2)",Miscellaneous
"Dear @TheOfficialSBI, your Local Head Office Branch at Ahmedabad made it mandatory for us to attach a photocopy of https://t.co/ZXCqg9cPZD",Miscellaneous
"@KotakBankLtd Branch Aditya mall , Indirapuram,GZB,my no 9990270774",Miscellaneous
@AxisBankSupport Again same copy pasted the standard matter,Miscellaneous
Appreciate the unrelenting work by @HDFCBank_Cares @ICICIBank_Care @AxisBankSupport @TheOfficialSBI . But way long to go.  @RBI @PMOIndia,Compliment
"@KotakBankLtd @udaykotak While all other banks were open, Kotak Bank Branch on Link Road Malad W was closed n v were told to come betn 4-6",Displeasure
@HDFCBank_Cares HOW LONG U GUYS TAKE TO DO A SMALL THING ?,Displeasure
"@ANI_news @TheOfficialSBI Sir, I myself employee&amp;  withdrawn money by standing only 1-2 hours. No problem. Govt. decision is good.",Compliment
"@TheOfficialSBI
branch17367 put one counter for Exchange &amp; Deposit
Total harassment
Pls direct for separate counter https://t.co/gK7tcKbQi0",Miscellaneous
"@ICICIBank_Care malad link Rd branch II, pathetic management n communication. Stop sending your irritating smses. Privilege customer a joke!",Displeasure
@TheOfficialSBI I understand but what about ATM no cash,Displeasure
@ranjank63 @HDFC_Bank @TheOfficialSBI PSBs on usual lethargic mode.,Displeasure
@KotakBankLtd sure request you to assign a good responsible Single Relationship Manager for my Both Accounts.,Miscellaneous
@TheOfficialSBI Just saw a news on tv Few political party people are talking about coming serving water and help to people standing queue/1,Miscellaneous
@TheOfficialSBI when ur branches are going to open the ATM. Branches have new cash but they can't put cash in ATM. This is irresponsible.,Displeasure
"RT @vaibhav_vyas: @HDFCBank_Cares  Ref ID: TW031116177
Loan application no. 621854928
I do not wish to take life insurance",Miscellaneous
Just been told violence has broken out in an @TheOfficialSBI branch in Okhla. Police called. Ridiculous #Rs500andRs1000,Miscellaneous
"@ICICIBank_Care @dixitsatish5 i am sry 2 inform tht ur branch at Arya Kumar Road, Patna, Bihar hs refused 2 accept /deposit money thru CAM",Miscellaneous
@ICICIBank_Care Hi is there a limit on number of times I can deposit old note in my account. Can I deposit in 2 or 3 installment.,Miscellaneous
RT @Gravim71: @SANDHUHARKIRAT @ShahnawazBJP @RubikaLiyaquat @ICICIBank_Care @arunjaitley I talked 10to15 Ppls there concerns Management..,Miscellaneous
Here's the newsreport declaring the same @TheOfficialSBI https://t.co/6G8QYTpHiX,Miscellaneous
Been at 2 branches of @KotakBankLtd #Hyderabad for 4000 #EXCHANGE. Service only for Bank customers. #DeMonetisation backseat?,Displeasure
"RT @shuchi_modi: @narendramodi @PMOIndia @arunjaitley @FinMinIndia @RBI @HDFC_Bank @HDFCBank_Cares @ICICIBank_Care
Stop providing priviled",Displeasure
RT @bond_aj: @KotakBankLtd your guys are doing amazing job. Customer service with lot of patience. #cheers #greatbanking #banerroad,Compliment
@ICICIBank_Care do I need to give any further documentation for depositing cash into my own account?? @ICICIBank,Miscellaneous
@ICICIBank_Care #juhu opp pratiksha kudos extraordinary care well organized a customer delight,Compliment
@TheOfficialSBI bank demands for extra money for reducing interest rates in housing loan.  Why?,Displeasure
"RT @SureshGkumar88: @TheOfficialSBI Wanna Slap you SBI, no response till now, see the branch during official working hours https://t.co/3JL",Displeasure
@RBI @AxisBank @ICICIBank @TheOfficialSBI @mdpnb  Same situation in evening too.. Making fool of people.. ATM is not working still,Displeasure
"@AxisBankSupport alreday sent many reminder
Can you help me?",Miscellaneous
@TheOfficialSBI Unnoticed..! https://t.co/DmJFrNHDVE,Displeasure
@ICICIBank_Care @ICICIBank very worst support for customers at Phaltan Satara MH.,Displeasure
@KotakBankLtd An amount of 200rs debited from my saving account don't know why??  Can you check it out??,Miscellaneous
@shaswatidas complete branch details via DM @AxisBankSupport well definitely take this up with the branch management.(2/2),Miscellaneous
@KotakBankLtd Care to tell me what was the result of your investigation. Why my card wasn't working or why no one responded from your bank,Displeasure
"And even if debits are reversed (but not the Rs 25 surcharge!!) as @ICICIBank_Care has done earlier, this reduces confidence in the product",Miscellaneous
"@WreckdFx @AxisBankSupport Hi, to generate credit card PIN, please visit https://t.co/JjAyxvT74s . (1/2)",Miscellaneous
@ICICIBank_Care and this is the 3rd ATM,Miscellaneous
@giddyja @KotakBankLtd they are all busy doing creative SMS marketing. Bunch of jokers @KotakBankLtd @udaykotak,Miscellaneous
@KotakBankLtd ...your ghatkopar east branch is not working for people ...and ur manager is so rude wid people pls take some action .,Displeasure
"@AxisBank @AxisBankSupport sent Though i am not customer, I hope my information Will not be used for telemarketing indulging in harassment.",Miscellaneous
Very nice. Hope other banks follow suit. I witnessed @HDFCBank_Cares' reps shouting at senior citizens to get in li https://t.co/yjGwY2fi2D,Compliment
"@KotakBankLtd ,@udaykotak don't have money for business so started eating public money and saying it's RBI norms. it means RBI said to eat.",Miscellaneous
