"@SushmaSwaraj @RBI @TheOfficialSBI , is the limit for cash withdrawal at foreign atms too is equivalent of only 2000 INR per day? #noteban","Miscellaneous"
"RT @KARUNASHANKEROJ: @TheOfficialSBI Please tell your staff not to keep ATMs empty during night. Why can't they refill it in the late eveni","Miscellaneous"
"@TheOfficialSBI the chowkidaars in ur branch has more sayvthen ur branch heads... they don't know how to behave with customers..","Displeasure"
"@HDFCBank_Cares @HDFC_Bank @Visa_IND  not got response from HDFC Bank. Kindly check and revert. Visa india u also revert. Where is my money","Displeasure"
"@AxisBankSupport @narendramodi @RBI none of the ATMs are working till now. What a great service you are providing.","Displeasure"
"Just visited @KotakBankLtd. Not much of a rush. The staff was cordial and helpful.","Compliment"
"@ICICIBank_Care Pathetic management of the crowds at your Balewadi branch in Pune #disgusted","Displeasure"
"@HDFCBank_Cares Out of 7 days, I think 6 days more remaining before you actuallly respond to my question. huh ridiculous","Displeasure"
"SBI DHUBRI BRANCH has shut there door at 3'o clock without any formal notice. @narendramodi  @arunjaitley @TheOfficialSBI","Miscellaneous"
"@AxisBankSupport @AxisBank  #helpline no busy since morning https://t.co/QSTEBZ3gaj","Compliment"
"First hand experience of the #CashRush process took 2hrs but was smooth at #whitefield @TheOfficialSBI  and @andhrabank , ThankYou.","Compliment"
"@htTweets @TheOfficialSBI also bank people seeing that you are responsible for losses have you thought of forgoing COMFORTS AND SALARY.","Miscellaneous"
"@KotakBankLtd very bad services from kotak bvi branch","Displeasure"
"@AxisBankSupport Only buying it because I'm a frequent flier on @airvistara     Not because I love @AxisBank. You're ruining vistara's name","Miscellaneous"
"@AxisBankSupport @AxisBank Any update?","Miscellaneous"
"@HDFCBank_Cares  deposited money 1.5 hrs ago. Still nit showing on my account in net and phone banking. https://t.co/0kvAw7HDFU","Displeasure"
"@KotakBankLtd @ICICIBank @HDFC_Bank @TheOfficialSBI @AxisBank webdevlpr makin tool 4 social cause &amp; free, to reduce deposit queue is welcmd?","Miscellaneous"
"@TheOfficialSBI bank shutdown only for customers","Displeasure"
"@KotakBankLtd decides to resolve my issue without contacting me","Compliment"
"Thanks @TheOfficialSBI Snacks distribution for people waiting in queue by order #BranchManager @narendramodi https://t.co/XflWWa7v4a","Compliment"
"RT @raju777_praveen: This response from @TheOfficialSBI is same as saying. Please talk Hindi / English , else get lost. This is not your co","Displeasure"
"@HDFCBank_Cares Bank Dwarka Sec 14 closed at 15:30 hrs. Staff entertaining their frnds/relatives. Not a good service @RBI @UrjitPatelRBI","Displeasure"
"@KotakBankLtd  how long will it take ???????","Miscellaneous"
"@KotakBankLtd Remane your JIFI Saving a/c to Sloths Saving A/c. I applied on 26th a/c still pending, contacted CS no use.","Miscellaneous"
"@ICICIBank @ICICIBank_Care  I am not able do the transfer have tried 10 times  already !!  Pls fix ASAP","Displeasure"
"@HDFCBank_Cares I understood this in your first attempt only, anyways i got it that u r going to ke sme time irrespctive of sverity of issue","Miscellaneous"
"@AxisBankSupport why are home loan documents sent to old address instead of new address ? #HNIPriorityCustomer","Miscellaneous"
"@AxisBank @ICICIBank @KotakBankLtd None of the ATM is working right now ... It's already 11 Nov ..in East of kailash","Displeasure"
"@TheOfficialSBI hope your main branch should be open at time at 8 am in Allahabad","Miscellaneous"
"@KARMENDRAKUMAR they dont have the readiness yet to deal with the situation @HDFC_Bank @ICICIBank @TheOfficialSBI @KotakBankLtd @IDBI_Bank","Displeasure"
"@RBI @TheOfficialSBI &amp; all other banks Writing from pratap nagar jaipur raj I know it is hard time for bank employees so its just a request","Miscellaneous"
"@HDFC_Bank @HDFCBank_Cares @HDFCBankNews ATM at AparnaSarovar at Nallagandla, Hyderabad not filled with cash. All 3000+residents suffering.","Displeasure"
"@IndianExpress @RBI false @KotakBankLtd Sb Marg branch lower Parel Mumbai xchngd notes only for about 10ppl n said no cash to xchng..","Displeasure"
"@HDFCBank_Cares I m trying UPI transactions from HDFC mobile app and not able to get any success from yesterday","Displeasure"
"@RBI @PMOIndia @TheOfficialSBI @arunjaitley @narendramodi please enable UPI (unified payment interface) in all banks,","Miscellaneous"
"SBI NM Branch refused to accept the exchange of high denomination for non account holders @arunjaitley @narendramodi @TheOfficialSBI","Displeasure"
"@ICICIBank_Care I want to know about withdrawal by visiting the branch, from my bank account (other than ATM)","Miscellaneous"
"@ICICIBank_Care need cash for purchase of vegetables and bus ticket. iMobile is waste like 500 n 1000 notes","Miscellaneous"
"Sorry state @narendramodi @gagkumar @bishu57 @HDFCBank_Cares @timesofindia @TimesNow @HDFCBankNews https://t.co/XVIhKbhIqM","Miscellaneous"
"Slowest SBI branch. Wasted 9hrs in line for money exchange, closing shutters at 4:00pm. Is this digital India? https://t.co/UEc138Sppj","Displeasure"
"@HDFCBank_Cares This is the atm https://t.co/fd7B5hukOL","Miscellaneous"
"@TheOfficialSBI @PMOIndia she is most powerful may be outside but not within SBI.  Even after complaining to her, n https://t.co/MGHH790uRG","Displeasure"
"@HDFCBank_Cares Great job by @HDFC_Bank Annapurna Road Branch Indore staff in handling cash deposit, withdrawal and exchange.","Compliment"
"RT @MePiyush: All 4 #ATMs in #IITDelhi are cashless. Manager of the @TheOfficialSBI branch is helpless. Huge #CashCrunch in country.","Miscellaneous"
