"@AxisBankSupport @AxisBank #AxisBank #Gurugram LaxmiBazar Branch, and you are sending smss that you are with your customers.. ????",Displeasure
"ATM charges waived off.
Possibly 5 ATM usage per month abolished too. Yet to confirm. #IndiaFightsCorruption @TheOfficialSBI @RBI @HDFC_Bank",Miscellaneous
#DeMonetisation @AxisBankSupport jaipur branch good arrangement for exchange of notes. chairs available for customers @PMOIndia,Compliment
@KotakBankLtd your Kammanahalli Bangalore branch is dispensing a maximum of only 2000 INR. Why?,Displeasure
@revz1236 @TheOfficialSBI Copy paste ,Miscellaneous
"@oza_nisarg @AxisBankSupport Hi, we're sorry you had to see our ATM this way. We are looking into the concerns you have highlighted(1/2)",Miscellaneous
"RT @bankofbaroda: @karannegi018 We request you to share the branch address with us, so that remedial action can be taken.",Miscellaneous
@ICICIBank @ICICIBank_Care I am a Privilege A/C holder. Kindly confirm if exchange facility is once per day or Only once,Miscellaneous
"@TheOfficialSBI - Since you have branches across the globe, advise all overseas people to exchange in your branch.They will get full worth.",Miscellaneous
@mansan79 @KotakBankLtd -  and they acquire other banks which were functioning perfectly. Old customers have to bear the brunt,Displeasure
@HDFCBank_Cares that why I had to raise his voice since ur customer care executive did not take up it properly.just confirm for credit.2/2,Displeasure
Reaction by Banks when your balance goes down below Minimum amount @HDFCBank_Cares @HDFC_Bank https://t.co/mOeA0hT6jK,Miscellaneous
@TheOfficialSBI awesome experience at Green Glen Layout Bangalore.. Although branch yet to get cash for disbursement... really appreciate,Compliment
"Dear @RBI, pls direct banks to prioritise refill of ATMs at hospital premises &amp; similar places

#DeMonetisation @ICICIBank @TheOfficialSBI",Miscellaneous
@subrataiam @rvaidya2000 @HDFCBank_Cares I HAVE ALREADY STARTED DOING? WHAT ABOUT POLICE TAKING MAMOOL FOR CROWD CONTROL,Displeasure
"When will hdfc ATM be operational , at santoshpur area kol @HDFCBank_Cares @HDFC_Bank",Miscellaneous
45 mins outside @TheOfficialSBI ATM and the machine ran out of cash #AccheDin,Displeasure
@ICICIBank @ICICIBank_Care she did a excellent job nd helped me resolve d issue. a great example how a customer should be treated (2),Compliment
@NDTVRavishKumar also @TheOfficialSBI don't have new notes in working hours.Useless in such case to extend workin hours.,Displeasure
